Local Govt. Area,Disease Type,Disease prevalence in 2011,Disease prevalence in 2012,Population Description,Ratio of Patient to Population 2011,Ratio of patient to 2012,percentage Difference b/w 2011 and 2012,,,,,,,,
Akoko-Edo,Malaria,7597,5023,"12,620",60.19809826,39.80190174,-33.88179545,,,,,,,,
Egor,Malaria,27997,11893,"39,890",70.18551015,29.81448985,-57.52044862,,,,,,,,
Esan Central,Malaria,11747,13414,"25,161",46.68733357,53.31266643,14.19085724,,,,,,,,
Esan North-East,Malaria,13805,10205,"24,010",57.4968763,42.5031237,-26.07750815,,,,,,,,
Esan South-East,Malaria,9835,4788,"14,623",67.25706079,32.74293921,-51.31672598,,,,,,,,
Esan West,Malaria,2586,5778,"8,364",30.91822095,69.08177905,123.4338747,,,,,,,,
Etsako Central,Malaria,6890,4165,"11,055",62.32473994,37.67526006,-39.55007257,,,,,,,,
Etsako East,Malaria,10853,5022,"5,806",186.9273166,86.49672752,-53.72708007,,,,,,,,
Etsako West,Malaria,5999,6476,"12,475",48.08817635,51.91182365,7.951325221,,,,,,,,
Igueben,Malaria,5335,3104,"8,439",63.2183908,36.7816092,-41.81818182,,,,,,,,
Ikpoba Okha,Malaria,15464,7642,"23,106",66.92633948,33.07366052,-50.5819969,,,,,,,,
Oredo,Malaria,36633,22297,"58,930",62.16358391,37.83641609,-39.13411405,,,,,,,,
Orhionmwon,Malaria,8149,5621,"13,770",59.17937545,40.82062455,-31.02221131,,,,,,,,
Ovia North-East,Malaria,26576,11992,"12,547",211.8115884,95.57663186,-54.87658037,,,,,,,,
Ovia South-West,Malaria,7669,5905,"13,574",56.49771622,43.50228378,-23.00169514,,,,,,,,
Owan East,Malaria,7349,6653,"14,002",52.48535923,47.51464077,-9.470676282,,,,,,,,
Owan West,Malaria,5496,3948,"9,444",58.1956798,41.8043202,-28.16593886,,,,,,,,
Uhunmwonde,Malaria,13416,13160,"26,576",50.48163757,49.51836243,-1.90816935,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,67,233,374,326,365,1366,752,3483,19364
,,,,,,,0,56,92,106,123,132,227,736,2052
,,,,,,,0,0,0,0,32,111,124,267,881
,,,,,,,,,,,,,,,22297
